"","spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30","spp31","spp32","spp33","spp34","spp35","spp36","spp37","spp38","spp39","spp40","spp41","spp42","spp43","spp44","spp45","spp46","spp47","spp48","spp49","spp50","spp51","spp52","spp53","spp54","spp55","spp56","spp57","spp58","spp59","spp60","spp61","spp62","spp63","spp64","spp65","spp66","spp67","spp68","spp69","spp70","spp71","spp72","spp73","spp74","spp75","spp76","spp77","spp78","spp79","spp80","spp81","spp82","spp83","spp84","spp85","spp86","spp87","spp88","spp89","spp90","spp91","spp92","spp93","spp94","spp95","spp96","spp97","spp98","spp99","spp100"
"loc1",0,2,3,6,1,4,6,4,4,1,1,0,5,2,2,2,6,5,1,5,0,5,3,3,6,6,0,2,2,5,10,2,1,1,3,3,2,8,5,5,1,2,15,3,7,5,4,6,3,10,5,1,3,8,2,2,2,2,6,3,0,3,0,4,11,7,4,2,5,2,0,1,5,1,3,4,3,1,2,3,3,2,3,1,1,10,4,2,2,4,0,1,1,3,2,1,4,1,1,5
"loc2",0,0,4,18,3,0,3,0,1,1,5,1,1,1,10,0,0,12,0,18,5,1,0,1,1,9,0,0,3,2,28,0,1,0,1,0,0,1,0,2,9,2,21,3,0,1,0,4,0,14,2,1,0,0,0,13,0,0,0,3,11,0,0,2,6,0,3,1,0,0,0,5,4,0,0,0,0,9,3,1,1,0,1,0,2,13,0,0,0,7,0,0,0,0,0,11,0,0,3,0
"loc3",0,0,2,28,1,0,1,0,0,0,4,0,1,0,5,0,1,11,0,31,1,1,0,0,3,15,0,0,1,0,31,0,0,0,1,1,0,0,1,1,7,1,30,2,1,9,0,7,0,10,3,2,0,0,0,17,1,0,0,3,7,0,0,1,8,0,6,2,1,0,0,9,5,1,0,0,0,9,0,0,1,0,5,0,5,11,0,0,0,7,0,1,0,0,0,12,0,0,1,0
"loc4",0,0,4,22,1,0,1,1,0,0,7,0,1,0,6,0,2,9,0,14,1,0,0,0,0,23,0,0,4,1,31,0,0,0,0,0,0,1,0,1,8,1,44,2,0,10,0,6,0,15,2,1,0,1,0,15,0,0,0,5,12,1,0,0,6,0,6,1,0,1,0,5,7,0,0,0,0,8,4,0,1,0,0,0,1,22,0,0,0,7,0,1,0,0,0,12,0,1,3,2
"loc5",0,0,5,15,2,0,0,0,0,1,2,0,0,0,15,0,1,11,0,36,3,0,1,0,0,18,0,0,1,0,40,0,1,0,0,0,0,1,2,1,13,0,39,1,1,11,2,11,0,10,0,1,0,0,0,23,0,0,0,6,7,0,0,3,3,0,3,0,0,0,0,5,10,1,0,0,0,14,8,0,0,0,5,0,2,21,0,0,0,8,0,0,0,0,0,13,0,0,2,1
"loc6",0,0,9,24,1,0,0,0,0,1,4,0,0,0,10,0,0,12,0,27,2,0,0,0,0,8,0,1,5,0,37,0,2,0,0,0,1,0,5,1,9,0,40,4,0,13,1,4,0,14,0,3,0,0,0,19,0,0,1,5,9,0,1,1,1,1,6,4,0,1,0,10,4,0,0,0,0,21,3,0,0,0,2,0,3,13,0,0,0,9,0,1,0,0,0,11,0,0,1,0
"loc7",0,0,3,14,1,0,1,0,0,0,2,0,0,0,6,0,0,7,0,12,2,0,0,0,0,14,0,0,0,0,27,0,1,0,2,0,0,0,1,1,9,0,23,1,0,9,0,2,0,9,1,3,0,0,0,19,1,0,0,2,3,0,0,0,2,0,6,1,0,1,0,3,6,0,0,0,0,8,1,0,0,0,0,0,0,17,0,0,0,8,0,1,0,0,0,12,0,0,1,1
"loc8",0,0,6,19,6,0,1,0,1,2,5,0,0,0,10,0,0,16,0,29,3,0,0,0,0,23,0,0,3,0,20,0,1,0,0,0,0,0,1,1,8,0,44,4,0,12,1,10,0,17,1,5,0,0,0,20,0,0,0,3,10,0,1,0,3,0,4,1,0,1,0,6,11,0,0,1,0,14,5,1,0,0,1,1,4,24,0,0,0,5,1,1,0,0,0,20,0,0,1,0
"loc9",0,0,4,23,0,0,0,0,0,1,3,0,0,1,14,0,0,7,0,20,1,1,0,0,1,17,0,0,1,0,32,0,0,0,0,0,0,0,0,0,10,0,30,5,1,11,0,7,1,15,1,1,0,2,0,16,1,0,1,2,8,0,0,1,5,0,3,1,0,0,0,7,6,0,0,0,0,14,3,0,1,0,5,2,3,18,0,0,0,5,0,2,0,0,0,10,0,0,3,0
"loc10",0,0,1,30,4,0,3,0,0,1,1,0,0,0,13,0,0,12,0,21,2,0,0,0,0,28,0,0,2,0,36,0,0,0,0,0,1,0,2,2,15,0,38,0,0,7,0,15,0,11,3,0,0,0,0,22,0,0,0,2,9,0,0,0,2,0,8,0,0,0,0,11,8,0,0,0,0,17,2,0,0,0,5,0,3,13,0,0,0,7,0,1,1,0,0,18,0,1,2,0
"loc11",0,0,3,14,1,0,2,0,2,0,1,1,0,0,4,0,0,7,0,14,4,0,0,0,0,12,0,0,3,0,23,0,1,0,0,0,0,1,2,0,5,0,19,1,0,7,0,5,0,13,4,2,0,0,0,12,0,0,1,1,6,0,0,0,2,0,4,1,0,0,0,3,7,0,0,0,1,6,5,0,0,1,0,0,0,12,0,0,0,2,0,1,0,0,0,9,0,0,0,0
"loc12",0,0,2,10,0,0,0,0,0,4,0,0,0,0,9,0,0,6,0,18,2,1,0,0,0,11,0,0,1,0,20,0,0,0,0,0,0,0,0,1,3,0,22,4,1,5,0,9,0,9,0,3,0,0,1,5,0,0,0,2,9,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,0,7,3,2,0,0,4,0,0,10,0,0,0,5,0,2,2,0,0,7,0,0,1,0
"loc13",0,0,1,16,3,0,1,0,0,0,1,0,0,0,13,1,0,10,0,14,2,0,0,0,0,17,1,0,1,0,28,0,3,0,0,0,0,0,1,2,7,0,28,1,0,6,0,5,0,15,1,1,0,0,0,17,0,0,0,3,3,0,0,1,7,0,1,0,0,0,0,6,5,1,0,1,0,11,2,0,0,0,2,1,2,11,0,0,0,7,0,1,0,0,0,13,0,0,1,0
"loc14",0,0,3,27,2,0,2,0,0,0,4,0,1,0,10,0,0,7,0,18,9,0,0,0,0,14,0,0,2,0,30,0,0,0,0,0,0,0,3,0,10,0,32,2,0,8,0,7,0,9,0,3,0,0,0,19,0,0,0,2,4,0,0,0,0,0,2,1,0,0,0,6,3,0,0,1,0,13,3,0,0,0,1,0,2,17,0,0,0,4,0,0,1,0,0,18,0,0,1,0
"loc15",0,0,4,30,1,0,1,0,0,0,7,0,1,0,6,0,0,6,0,24,2,1,0,0,0,23,0,0,2,0,40,0,0,0,0,0,0,0,0,1,12,0,31,3,0,7,0,7,0,13,1,2,0,0,0,15,0,0,0,2,8,0,0,0,2,0,5,1,0,0,1,8,3,0,0,1,0,13,1,0,0,1,1,0,0,17,0,0,0,6,0,0,0,0,0,13,0,1,1,0
"loc16",1,1,5,23,1,0,1,0,0,1,3,0,0,0,18,0,0,5,0,30,2,0,0,0,0,20,0,0,3,0,36,0,1,0,0,0,0,0,4,3,4,1,40,5,0,10,0,11,0,13,3,1,0,0,1,17,0,0,0,4,9,0,0,0,8,0,3,1,0,0,0,11,7,0,0,0,0,18,5,0,0,0,3,1,2,23,0,0,0,6,0,2,0,0,0,8,0,0,3,0
"loc17",1,0,2,12,1,0,1,0,0,0,5,0,0,0,13,0,0,6,0,16,5,1,0,0,0,22,0,0,0,0,37,0,1,0,0,0,0,1,3,3,8,0,41,4,1,5,0,5,0,10,1,2,0,0,0,12,0,0,0,4,10,0,0,0,4,0,4,1,0,0,0,6,3,0,0,0,0,7,2,0,0,0,1,0,2,19,0,0,0,3,0,0,0,0,0,18,0,0,2,0
"loc18",0,1,2,27,1,0,1,0,0,1,5,1,0,0,13,0,1,11,0,25,4,0,0,0,0,11,0,0,2,0,23,0,0,0,0,0,0,0,1,5,11,0,37,3,0,9,0,10,0,15,0,1,0,1,0,21,0,0,0,5,7,0,0,2,5,0,3,0,0,0,0,9,5,0,1,0,0,10,0,0,0,0,1,0,2,15,0,0,0,7,0,0,0,0,0,12,0,0,1,0
"loc19",1,0,4,19,0,0,1,1,0,0,1,0,0,0,6,0,0,11,0,16,3,0,0,0,0,21,0,0,3,0,31,0,1,0,0,0,0,0,3,3,3,0,32,1,0,5,0,5,0,11,2,4,0,0,0,16,1,0,0,3,2,0,0,1,4,0,4,2,0,0,0,8,4,0,0,1,0,6,1,0,0,0,1,1,2,6,0,0,0,8,0,1,0,0,0,5,1,0,2,0
"loc20",0,0,2,16,2,0,1,0,0,1,5,0,0,0,4,0,0,9,0,21,2,0,0,0,0,10,0,1,2,0,28,0,0,0,0,0,0,0,1,4,10,0,14,3,1,6,0,3,1,8,2,1,0,0,0,16,0,0,1,2,3,0,0,0,3,0,0,1,0,0,1,4,5,0,1,0,0,7,3,0,0,0,2,0,1,14,0,0,0,3,0,0,0,0,0,10,0,0,1,0
"loc21",0,0,4,18,4,0,1,0,1,1,8,0,0,0,18,1,1,5,0,22,1,1,0,1,0,24,0,0,2,0,35,0,0,0,0,0,1,0,2,0,12,1,32,2,0,10,0,9,0,11,1,2,0,0,0,12,0,0,0,4,5,0,0,0,5,0,5,2,0,0,0,10,8,0,0,0,0,9,2,0,0,0,3,0,0,13,0,0,1,4,0,0,0,0,0,12,0,0,3,0
"loc22",0,0,1,17,0,0,1,0,0,2,2,0,0,0,9,0,0,7,0,17,2,0,0,0,0,10,0,0,0,0,22,0,1,0,0,0,1,0,3,1,10,0,22,2,0,8,0,6,0,7,1,1,0,0,0,15,0,0,1,0,3,0,0,0,1,0,3,0,0,0,0,5,5,0,0,0,0,9,2,0,0,0,4,0,4,12,0,0,0,3,0,2,1,0,1,13,0,0,2,0
"loc23",0,0,3,14,0,0,0,0,0,0,4,0,0,0,7,0,0,6,0,24,2,1,0,0,0,10,0,0,3,1,26,0,0,0,0,0,0,0,1,2,4,0,36,2,0,13,0,6,1,12,1,3,0,0,0,18,0,0,0,0,7,0,0,0,5,0,7,0,0,0,0,5,6,0,0,0,0,12,5,0,0,0,1,1,1,17,0,1,0,1,0,2,0,0,0,12,1,0,3,0
"loc24",0,0,7,29,4,0,3,0,0,4,5,0,0,0,12,0,0,10,0,26,1,1,0,0,0,17,0,0,1,0,37,0,1,0,0,0,0,0,3,2,8,0,39,3,0,8,0,8,0,24,1,6,0,0,1,20,0,0,0,1,12,1,1,0,6,0,2,1,0,0,0,9,3,0,0,0,0,17,3,0,0,0,4,0,0,19,0,0,0,4,0,1,0,0,0,20,0,0,2,0
"loc25",0,0,3,24,2,0,1,0,0,1,4,0,0,0,6,0,0,11,0,18,3,0,0,1,0,15,0,0,2,0,25,0,0,0,0,0,0,0,1,2,14,0,33,4,0,8,0,7,0,9,2,2,0,0,0,16,0,0,0,4,8,0,0,2,8,0,4,0,0,0,0,6,2,0,0,0,0,8,0,0,0,0,1,1,1,19,0,0,0,11,0,1,0,0,0,19,0,0,0,2
"loc26",0,0,5,16,2,0,2,0,0,0,3,0,0,0,4,0,0,4,0,16,4,0,1,0,0,14,0,0,1,0,20,0,1,0,0,0,0,0,1,1,11,0,24,2,0,3,0,7,0,10,0,1,0,0,0,10,0,0,0,2,2,0,0,0,2,0,6,0,0,0,0,5,6,0,0,0,1,7,1,0,1,0,1,0,4,11,0,0,0,2,0,0,0,0,0,8,0,0,2,0
"loc27",0,0,3,20,0,0,1,0,0,2,3,0,0,0,8,0,0,10,0,10,3,0,0,0,0,9,0,0,2,0,10,0,0,0,0,0,0,0,2,2,4,0,29,3,0,3,1,7,0,9,3,0,0,1,0,12,0,0,0,3,4,0,0,0,4,0,4,0,1,0,0,4,4,0,0,0,0,6,3,0,0,0,2,0,2,9,0,0,0,5,0,1,0,0,0,9,0,0,2,0
"loc28",0,0,6,26,0,0,0,0,0,0,5,0,0,0,15,0,0,15,0,21,2,0,0,0,0,17,0,0,1,0,29,0,1,0,0,1,0,0,1,0,14,1,32,3,0,7,0,3,1,12,0,3,0,1,0,17,0,0,0,6,4,0,0,0,3,0,5,0,0,0,0,6,5,0,0,0,0,16,2,0,0,0,3,0,0,15,0,0,0,4,0,2,0,0,0,17,0,0,3,0
"loc29",0,0,1,15,0,0,0,0,0,2,2,0,0,0,4,0,0,6,0,17,0,0,0,0,0,12,0,0,1,0,21,0,1,0,0,0,0,0,1,1,7,0,30,1,0,6,0,10,0,10,2,3,0,0,0,7,0,0,0,3,6,0,0,0,2,1,2,1,0,0,0,5,5,0,0,0,0,12,5,0,0,0,1,0,1,16,0,0,0,1,0,0,0,0,0,7,0,0,3,0
"loc30",0,0,3,26,0,0,0,0,0,2,1,0,0,0,16,0,0,17,0,38,4,0,1,0,0,19,0,0,0,0,41,0,0,1,0,0,1,0,2,2,11,0,50,8,0,11,0,6,0,9,1,2,0,0,0,18,0,0,0,4,7,0,0,0,5,0,9,1,0,0,0,7,8,0,0,0,1,11,4,0,0,0,1,1,3,16,0,0,0,5,0,0,0,0,0,21,0,0,4,1
"loc31",0,0,3,15,1,0,1,0,0,2,3,0,0,0,5,0,0,8,0,22,3,0,0,0,0,19,0,0,1,0,29,0,0,0,0,0,0,0,0,5,5,0,28,2,0,5,0,14,0,16,1,3,0,0,0,11,1,0,1,4,9,0,0,0,2,0,1,1,0,0,0,7,7,0,0,0,0,10,4,0,0,0,5,0,1,7,0,0,0,5,0,1,0,0,0,8,0,0,3,0
"loc32",0,0,6,22,1,0,0,0,0,2,4,0,0,1,9,0,0,8,0,19,6,0,0,1,0,16,0,0,0,1,28,0,0,0,1,0,0,0,1,3,7,0,43,3,1,6,0,7,0,22,2,3,0,0,0,23,0,0,0,7,6,0,0,0,5,0,4,0,0,0,0,6,8,0,0,1,0,11,1,0,0,0,2,0,3,21,0,0,0,5,1,2,0,0,0,12,0,0,5,0
"loc33",0,0,1,2,0,0,1,0,1,0,2,0,0,0,6,1,0,6,0,17,0,0,0,0,0,9,0,0,3,0,23,0,0,0,0,0,0,0,1,1,10,0,28,2,0,9,0,4,0,16,2,3,0,0,0,16,0,0,0,4,6,0,0,1,6,0,5,0,0,0,0,6,4,0,0,0,0,10,4,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,8,0,0,0,0
"loc34",0,0,5,21,4,0,1,0,0,0,8,0,0,0,12,0,0,11,0,29,3,0,0,0,0,17,0,0,2,0,35,0,1,0,0,0,0,0,3,2,5,0,38,2,0,13,1,8,0,19,1,1,0,0,0,16,0,0,0,7,5,0,0,0,1,0,3,1,1,0,0,7,10,0,1,0,0,14,4,0,0,0,1,0,2,28,0,0,0,8,0,1,0,0,0,16,0,0,1,1
"loc35",0,0,5,23,5,0,0,0,0,0,5,0,0,0,10,0,1,16,0,27,5,0,0,0,0,24,1,0,2,0,38,0,1,0,0,0,0,0,2,1,11,0,36,4,0,12,0,4,0,13,2,5,0,0,0,15,1,0,0,7,6,0,0,0,6,0,2,1,0,0,0,8,5,0,0,0,0,18,3,0,0,0,1,0,0,25,1,0,0,6,0,1,0,0,0,14,0,0,4,0
"loc36",0,0,6,20,1,0,0,0,0,0,4,0,0,0,20,0,0,10,0,28,2,0,0,0,0,18,0,0,1,0,40,0,1,0,0,0,0,0,1,1,9,1,44,3,0,7,0,14,0,24,2,5,0,0,0,20,0,0,0,5,2,0,0,1,4,0,4,0,0,0,0,7,5,0,0,0,0,12,1,0,0,0,3,0,1,18,0,0,0,5,0,1,0,0,0,13,1,0,2,0
"loc37",0,0,2,13,4,0,1,0,0,0,2,0,0,0,15,0,0,6,0,23,1,0,0,0,1,12,0,0,1,0,27,0,0,0,0,0,0,0,2,2,7,0,39,2,0,9,0,7,0,14,1,1,0,0,0,13,0,0,0,1,7,0,0,0,4,0,1,2,0,0,0,4,3,0,0,0,0,7,4,0,0,0,1,0,0,12,0,0,0,3,0,0,0,0,0,15,0,0,2,0
"loc38",0,0,4,28,2,0,0,0,0,0,1,0,0,0,14,0,2,12,0,29,3,0,0,0,0,17,0,0,4,0,25,0,1,0,0,0,0,0,0,1,9,0,46,3,0,6,0,12,0,9,2,0,0,0,0,18,0,0,0,2,5,0,0,2,3,0,5,0,0,0,0,8,10,0,0,0,0,11,3,0,0,0,2,0,3,19,0,0,0,7,0,2,0,0,0,17,0,0,4,0
"loc39",0,1,5,19,0,0,1,0,0,0,6,0,0,1,9,0,0,12,0,18,3,0,0,0,0,22,0,0,0,0,21,0,0,0,0,0,0,0,0,2,10,1,25,1,0,8,0,5,0,12,2,3,0,0,0,19,0,0,0,6,6,0,0,0,6,1,1,1,0,0,0,4,3,0,0,0,0,14,4,1,0,0,2,0,1,15,0,0,0,7,0,0,0,0,0,11,0,0,1,0
"loc40",0,0,0,23,3,0,0,0,0,0,3,0,0,0,10,0,0,8,0,21,5,0,0,0,0,13,0,0,2,0,24,0,0,0,0,0,0,0,3,1,5,0,33,4,0,10,0,6,0,13,2,1,0,0,0,16,0,0,1,3,6,0,0,0,5,0,0,1,0,0,0,6,3,0,0,0,0,5,1,0,0,0,5,1,1,16,0,0,0,6,0,2,0,0,1,3,0,0,4,0
"loc41",0,0,2,13,1,0,0,0,0,1,1,1,0,0,11,0,0,6,0,10,1,0,0,1,0,10,0,0,3,0,24,0,0,0,0,0,0,0,1,1,6,0,20,3,0,1,0,7,0,3,0,4,0,0,0,17,0,0,0,1,4,0,0,0,6,0,3,0,0,0,0,4,4,0,0,0,0,5,2,0,0,0,1,0,1,5,0,0,0,6,0,1,0,0,1,12,0,0,0,1
"loc42",0,0,0,18,0,0,1,0,0,0,2,0,0,0,7,0,0,8,0,33,2,0,0,0,0,19,0,0,1,0,22,0,1,0,0,0,0,0,0,1,5,0,22,2,0,7,0,10,0,6,3,4,0,0,0,14,0,0,0,1,14,0,0,1,3,0,2,0,0,0,0,8,5,0,0,0,0,20,3,0,0,0,0,0,0,17,0,0,0,4,0,2,0,0,0,14,0,0,0,0
"loc43",0,0,6,14,0,0,1,0,0,0,3,0,0,0,18,0,0,6,0,33,2,0,0,1,0,23,0,0,1,0,26,0,1,0,0,0,0,0,0,1,13,0,37,5,0,4,0,6,0,20,1,2,0,0,0,22,0,0,1,4,8,0,0,0,11,0,8,0,0,2,1,7,5,0,0,0,0,7,5,0,0,1,5,1,1,26,0,0,0,6,0,0,0,0,0,20,1,1,2,1
